decision_point,trump,our_score,their_score,bidding_meld,defending_meld,hand,meld_total,ace_count,trump_length,longest_side_suit,has_run,has_pinochle,has_around,bid,score_diff,partner_has_bid,partner_has_passed,p_make,ev_take,ev_defend,ev_play_on,ev_fold,verdict_bid,verdict_fold
bid,H,0,0,,,10D_1 9C_1 9C_2 9D_1 9H_1 9H_2 AH_1 AS_2 JC_1 JC_2 JH_2 QH_1,20,2,5,4,0,0,0,300,0,0,0,0.4733,-160.3333,-219.9333,,,1,
bid,C,0,0,,,10C_1 9D_2 9S_1 AC_2 AD_1 JD_1 KC_1 KD_1 KH_2 KS_1 QC_2 QS_1,180,2,4,4,0,1,1,300,0,0,0,0.8733,203.0,125.3333,,,1,
bid,D,0,0,,,10C_2 10D_2 10H_1 9S_2 AD_2 AH_2 JD_2 JS_1 KD_2 KS_2 QC_1 QD_1,150,2,5,3,1,0,0,310,0,0,1,0.9867,270.4,-11.0667,,,1,
bid,S,0,0,,,10H_2 10S_1 10S_2 AC_1 AS_1 JH_1 JS_2 KC_2 KH_1 QD_2 QH_2 QS_2,20,2,5,4,0,0,0,320,0,1,0,0.5133,-71.0,82.4667,,,0,
bid,C,0,0,,,10C_1 9D_2 9S_1 AC_2 AD_1 JD_1 KC_1 KD_1 KH_2 KS_1 QC_2 QS_1,180,2,4,4,0,1,1,330,0,1,0,0.8467,180.4,125.3333,,,1,
bid,D,0,0,,,10C_2 10D_2 10H_1 9S_2 AD_2 AH_2 JD_2 JS_1 KD_2 KS_2 QC_1 QD_1,150,2,5,3,1,0,0,330,0,0,1,0.9467,236.8,81.2667,,,1,
bid,S,0,0,,,10H_2 10S_1 10S_2 AC_1 AS_1 JH_1 JS_2 KC_2 KH_1 QD_2 QH_2 QS_2,20,2,5,4,0,0,0,340,0,1,1,0.6067,13.6,80.6667,,,0,
fold,D,0,0,160,190,10D_1 10D_2 9C_1 9S_2 AD_2 AS_2 JD_2 JS_1 KD_2 KS_2 QC_1 QD_1,150,2,6,4,1,0,0,330,0,0,0,0.6867,,,-104.7333,-520.0,,0
bid,D,310,-330,,,10H_1 10H_2 10S_2 9C_2 9H_1 9H_2 AD_1 AD_2 JH_2 JS_2 KS_1 QH_2,0,2,2,6,0,0,0,300,640,0,0,0.0533,-437.1333,-91.0,,,0,
bid,C,-330,310,,,9C_1 AC_2 JC_2 JD_1 KC_1 KD_1 KD_2 KH_2 KS_2 QC_1 QD_1 QD_2,170,1,5,5,0,0,1,300,-640,0,0,0.8267,169.0,36.6667,,,1,
bid,S,310,-330,,,10D_1 10D_2 9D_1 9D_2 9S_1 9S_2 AH_1 AS_2 JC_1 KH_1 QC_2 QS_2,20,2,4,4,0,0,0,310,640,0,1,0.2067,-321.0667,-51.0667,,,0,
bid,S,-330,310,,,10C_1 10C_2 10S_1 AC_1 AH_2 AS_1 JD_2 JH_1 JS_1 KC_2 QH_1 QS_1,40,3,4,4,0,1,0,310,-640,1,0,0.7267,89.6667,70.9333,,,1,
fold,C,-330,310,270,10,9C_1 AC_1 JD_2 KC_1 KD_1 KD_2 KH_2 KS_2 QC_1 QD_1 QD_2 QS_1,230,1,4,5,0,1,1,300,-640,0,0,0.9933,,,270.6,-310.0,,0
bid,C,100,410,,,10D_2 9S_1 AC_2 AD_2 AH_2 JH_1 JH_2 JS_1 KC_1 KH_2 KS_2 QC_1,40,3,3,4,0,0,0,300,-310,0,0,0.6733,-2.5333,-25.5333,,,1,
bid,C,410,100,,,10C_1 10C_2 10H_1 10H_2 10S_1 10S_2 AC_1 AH_1 AS_1 JC_2 KC_2 KD_1,0,3,5,3,0,0,0,300,310,0,0,0.8467,161.2667,-31.3333,,,1,
bid,S,100,410,,,10D_1 9C_1 9C_2 9D_1 AS_2 JD_1 JD_2 KD_2 KS_1 QC_2 QS_1 QS_2,340,1,4,5,0,1,0,310,-310,0,1,1.0,481.6,241.0667,,,1,
bid,H,410,100,,,9D_2 9H_1 9H_2 9S_2 AD_1 JC_1 JS_2 KH_1 QD_1 QD_2 QH_1 QH_2,60,1,5,4,0,0,0,320,310,1,0,0.3467,-233.0667,-134.4,,,0,
bid,C,410,100,,,10C_1 10C_2 10H_1 10H_2 10S_1 10S_2 AC_1 AH_1 AS_1 JC_2 KC_2 KD_1,0,3,5,3,0,0,0,320,310,0,1,0.8133,151.9333,-15.3333,,,1,
bid,S,100,410,,,10D_1 9C_1 9C_2 9D_1 AS_2 JD_1 JD_2 KD_2 KS_1 QC_2 QS_1 QS_2,340,1,4,5,0,1,0,330,-310,0,1,1.0,490.2667,334.4,,,1,
bid,C,410,100,,,10C_1 10C_2 10H_1 10H_2 10S_1 10S_2 AC_1 AH_1 AS_1 JC_2 KC_2 KD_1,0,3,5,3,0,0,0,340,310,0,1,0.7133,88.0667,98.9333,,,0,
fold,S,100,410,410,30,9C_1 9C_2 9D_1 AH_2 AS_2 JD_1 JD_2 JS_1 KS_1 KS_2 QS_1 QS_2,380,2,6,3,0,1,0,330,-310,0,0,1.0,,,472.8,-360.0,,0
bid,S,480,720,,,10C_1 10D_1 10H_1 10S_1 9H_2 AS_1 JC_2 JS_2 KC_1 KS_2 QD_1 QD_2,0,1,4,3,0,0,0,300,-240,0,0,0.4933,-122.5333,-121.1333,,,0,
bid,C,720,480,,,9C_1 9D_1 9S_2 AC_2 JC_1 JD_2 JH_1 KC_2 KS_1 QC_1 QC_2 QS_1,110,1,6,3,0,1,0,310,240,0,0,0.82,180.8,-27.8667,,,1,
bid,D,480,720,,,10D_2 9C_2 9D_2 9S_1 AD_1 AD_2 JH_2 KD_2 KH_2 QH_1 QH_2 QS_2,30,2,5,4,0,0,0,320,-240,1,0,0.4067,-141.4,69.8,,,0,
bid,S,720,480,,,10C_2 10H_2 10S_2 9H_1 AC_1 AH_1 AH_2 AS_2 JD_1 JS_1 KD_1 KH_1,0,4,3,5,0,0,0,320,240,1,0,0.36,-201.6,45.1333,,,0,
bid,S,480,720,,,10C_1 10D_1 10H_1 10S_1 9H_2 AS_1 JC_2 JS_2 KC_1 KS_2 QD_1 QD_2,0,1,4,3,0,0,0,320,-240,0,1,0.48,-130.8667,-104.0,,,0,
fold,C,720,480,220,30,10C_2 9C_1 AC_1 AC_2 JC_1 JD_1 JD_2 KC_2 KS_1 QC_1 QC_2 QS_1,220,2,8,2,1,1,0,310,240,0,0,1.0,,,329.7333,-340.0,,0
bid,H,0,0,,,10C_2 10D_1 10H_1 10H_2 9S_2 AH_2 JH_2 KC_1 KD_1 KH_1 QC_1 QS_2,20,1,5,3,0,0,0,300,0,0,0,0.74,89.0,-91.3333,,,1,
bid,D,0,0,,,10D_2 10S_1 10S_2 9C_2 9D_2 9H_2 9S_1 JS_2 KC_2 KD_2 KS_1 QD_2,50,0,4,5,0,0,0,310,0,0,0,0.3333,-254.1333,-150.1333,,,0,
bid,S,0,0,,,10C_1 AC_1 AC_2 AD_2 AH_1 AS_1 AS_2 JD_1 JS_1 KH_2 QD_1 QH_2,120,6,3,3,0,0,1,310,0,1,0,0.8667,181.0,391.1333,,,0,
